instance,method,profit,time,nodes
example01.txt,dynamicProg,18,0.000009,N/A
example01.txt,backtracking,18,0.000016,15
example01.txt,branchBound,18,0.000002,N/A
example02.txt,dynamicProg,27,0.000018,N/A
example02.txt,backtracking,27,0.000014,29
example02.txt,branchBound,27,0.000003,N/A
example03.txt,dynamicProg,37,0.000016,N/A
example03.txt,backtracking,37,0.000023,29
example03.txt,branchBound,37,0.000006,N/A
example04.txt,dynamicProg,58,0.000053,N/A
example04.txt,backtracking,58,0.000019,61
example04.txt,branchBound,58,0.000002,N/A
example05.txt,dynamicProg,103,0.000145,N/A
example05.txt,backtracking,103,0.000024,103
example05.txt,branchBound,103,0.000006,N/A
example06.txt,dynamicProg,80,0.000027,N/A
example06.txt,backtracking,80,0.000017,39
example06.txt,branchBound,80,0.000002,N/A
example07.txt,dynamicProg,210,0.002207,N/A
example07.txt,backtracking,210,0.000115,1565
example07.txt,branchBound,210,0.000010,N/A
example08.txt,dynamicProg,440,0.006687,N/A
example08.txt,backtracking,440,0.000051,473
example08.txt,branchBound,440,0.000010,N/A
example09.txt,dynamicProg,80,0.001194,N/A
example09.txt,backtracking,80,0.000024,125
example09.txt,branchBound,80,0.000002,N/A
example10.txt,dynamicProg,170,0.000326,N/A
example10.txt,backtracking,170,0.000044,381
example10.txt,branchBound,170,0.000009,N/A
