instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V100_0.txt,10,100,100,dynamicProg,422,0.012096,N/A
inst_N10_W100_V100_0.txt,10,100,100,backtracking,422,0.000355,1681
inst_N10_W100_V100_0.txt,10,100,100,branchBound,422,0.000009,N/A
inst_N10_W100_V100_1.txt,10,100,100,dynamicProg,400,0.013554,N/A
inst_N10_W100_V100_1.txt,10,100,100,backtracking,400,0.000195,1695
inst_N10_W100_V100_1.txt,10,100,100,branchBound,400,0.000008,N/A
inst_N10_W100_V100_2.txt,10,100,100,dynamicProg,394,0.012741,N/A
inst_N10_W100_V100_2.txt,10,100,100,backtracking,394,0.000425,1891
inst_N10_W100_V100_2.txt,10,100,100,branchBound,394,0.000013,N/A
inst_N10_W100_V100_3.txt,10,100,100,dynamicProg,256,0.012260,N/A
inst_N10_W100_V100_3.txt,10,100,100,backtracking,256,0.000180,1449
inst_N10_W100_V100_3.txt,10,100,100,branchBound,237,0.000003,N/A
inst_N10_W100_V100_4.txt,10,100,100,dynamicProg,367,0.013864,N/A
inst_N10_W100_V100_4.txt,10,100,100,backtracking,367,0.000181,1629
inst_N10_W100_V100_4.txt,10,100,100,branchBound,344,0.000004,N/A
inst_N10_W100_V100_5.txt,10,100,100,dynamicProg,267,0.009213,N/A
inst_N10_W100_V100_5.txt,10,100,100,backtracking,267,0.000154,875
inst_N10_W100_V100_5.txt,10,100,100,branchBound,267,0.000012,N/A
inst_N10_W100_V100_6.txt,10,100,100,dynamicProg,465,0.012288,N/A
inst_N10_W100_V100_6.txt,10,100,100,backtracking,465,0.000201,1695
inst_N10_W100_V100_6.txt,10,100,100,branchBound,465,0.000009,N/A
inst_N10_W100_V100_7.txt,10,100,100,dynamicProg,596,0.012388,N/A
inst_N10_W100_V100_7.txt,10,100,100,backtracking,596,0.000195,1993
inst_N10_W100_V100_7.txt,10,100,100,branchBound,596,0.000016,N/A
inst_N10_W100_V100_8.txt,10,100,100,dynamicProg,423,0.010320,N/A
inst_N10_W100_V100_8.txt,10,100,100,backtracking,423,0.000176,1511
inst_N10_W100_V100_8.txt,10,100,100,branchBound,423,0.000010,N/A
inst_N10_W100_V100_9.txt,10,100,100,dynamicProg,397,0.010916,N/A
inst_N10_W100_V100_9.txt,10,100,100,backtracking,397,0.000216,1557
inst_N10_W100_V100_9.txt,10,100,100,branchBound,397,0.000021,N/A
inst_N10_W100_V150_0.txt,10,100,150,dynamicProg,306,0.015516,N/A
inst_N10_W100_V150_0.txt,10,100,150,backtracking,306,0.000296,1587
inst_N10_W100_V150_0.txt,10,100,150,branchBound,306,0.000012,N/A
inst_N10_W100_V150_1.txt,10,100,150,dynamicProg,345,0.016523,N/A
inst_N10_W100_V150_1.txt,10,100,150,backtracking,345,0.000186,1659
inst_N10_W100_V150_1.txt,10,100,150,branchBound,345,0.000008,N/A
inst_N10_W100_V150_2.txt,10,100,150,dynamicProg,420,0.016293,N/A
inst_N10_W100_V150_2.txt,10,100,150,backtracking,420,0.000360,1725
inst_N10_W100_V150_2.txt,10,100,150,branchBound,420,0.000013,N/A
inst_N10_W100_V150_3.txt,10,100,150,dynamicProg,455,0.016251,N/A
inst_N10_W100_V150_3.txt,10,100,150,backtracking,455,0.000230,1939
inst_N10_W100_V150_3.txt,10,100,150,branchBound,444,0.000008,N/A
inst_N10_W100_V150_4.txt,10,100,150,dynamicProg,341,0.011665,N/A
inst_N10_W100_V150_4.txt,10,100,150,backtracking,341,0.000152,1279
inst_N10_W100_V150_4.txt,10,100,150,branchBound,335,0.000014,N/A
inst_N10_W100_V150_5.txt,10,100,150,dynamicProg,409,0.015451,N/A
inst_N10_W100_V150_5.txt,10,100,150,backtracking,409,0.000198,1723
inst_N10_W100_V150_5.txt,10,100,150,branchBound,409,0.000008,N/A
inst_N10_W100_V150_6.txt,10,100,150,dynamicProg,342,0.013117,N/A
inst_N10_W100_V150_6.txt,10,100,150,backtracking,342,0.000147,1213
